sampling_proportion,sampling_percent,n_networks,mean_captured_percent,sd_captured_percent,se_captured_percent,median_captured_percent,marginal_gain_percentage_points,gain_per_additional_5pct_sampled
0.05,5,268,32.432024542323084,20.772952412790566,1.2689100269552966,28.388278388278387,NA,NA
0.1,10,268,45.57546308786578,22.08647884770026,1.3491464243054145,43.75,13.143438545542693,13.143438545542693
0.15000000000000002,15.000000000000002,268,54.539204288254126,21.34758183537092,1.3040111055890098,53.90720390720391,8.963741200388348,8.963741200388348
0.2,20,268,59.72027966296613,20.772071743016475,1.2688562314868157,61.07994389901823,5.181075374712002,5.181075374712002
0.25,25,268,65.97788363660325,19.215957615832746,1.173801432350299,66.66666666666667,6.257603973637124,6.257603973637124
0.3,30,268,71.32819460482554,16.86359717147598,1.0301081481438905,72.53325392098472,5.3503109682222885,5.3503109682222885
0.35000000000000003,35,268,74.77520249096618,15.463568326119146,0.9445877750838685,75.47611092549282,3.4470078861406392,3.4470078861406392
0.4,40,268,77.82491671584697,14.86992059312365,0.9083249682421485,78.97985705003248,3.0497142248807876,3.0497142248807876
0.45,45,268,80.9320492759116,13.648211394083235,0.8336972012362713,82.9362828512006,3.1071325600646276,3.1071325600646276
0.5,50,268,83.02319912489608,12.742853173567894,0.7783936458643851,84.61538461538461,2.091149848984486,2.091149848984486
0.55,55.00000000000001,268,85.5658803472066,11.74577416034033,0.7174873513517128,87.36702127659575,2.54268122231052,2.54268122231052
0.6000000000000001,60.00000000000001,268,87.37982119525616,11.113872685093973,0.6788878252923243,90,1.8139408480495547,1.8139408480495547
0.6500000000000001,65.00000000000001,268,88.56449458649536,10.626008716987716,0.6490867903398225,90.9090909090909,1.1846733912392011,1.1846733912392011
0.7000000000000001,70,268,89.53064043628105,10.516665576506362,0.6424075949814323,92.32128829536528,0.9661458497856898,0.9661458497856898
0.7500000000000001,75.00000000000001,268,90.47703257839801,10.346093678277235,0.6319882579667059,93.44086021505376,0.946392142116963,0.946392142116963
0.8,80,268,91.07646093571374,10.350433329927112,0.6322533443820886,94.28571428571429,0.5994283573157304,0.5994283573157304
0.8500000000000001,85.00000000000001,268,91.96090316140307,10.06964939059314,0.6151017354557857,94.78221415607986,0.8844422256893267,0.8844422256893267
0.9000000000000001,90.00000000000001,268,92.7792378406319,9.761853212689974,0.5963000914410735,95.65217391304348,0.8183346792288262,0.8183346792288262
0.9500000000000001,95,268,93.4804589567506,9.377402432017252,0.5728160223125065,96.92234848484848,0.7012211161187025,0.7012211161187025
1,100,268,93.60269394785593,9.39039123305725,0.573609439615462,97.18086162398254,0.12223499110532998,0.12223499110532998
