sampling_proportion,sampling_percent,n_repetitions,mean_captured_percent,sd_between_repetitions
0.05,5,50,13.816301757579101,NA
0.1,10,50,22.260685198871382,NA
0.15000000000000002,15.000000000000002,50,29.714930960484097,NA
0.2,20,50,35.230574592486334,NA
0.25,25,50,41.509611747602555,NA
0.3,30,50,46.69614857173566,NA
0.35000000000000003,35,50,51.30606833258937,NA
0.4,40,50,55.734570737436385,NA
0.45,45,50,59.9384921054095,NA
0.5,50,50,63.309538349868845,NA
0.55,55.00000000000001,50,67.71796412706856,NA
0.6000000000000001,60.00000000000001,50,71.48448212340084,NA
0.6500000000000001,65.00000000000001,50,74.8287941138289,NA
0.7000000000000001,70,50,77.9767289484082,NA
0.7500000000000001,75.00000000000001,50,81.1308961375483,NA
0.8,80,50,83.51286255655182,NA
0.8500000000000001,85.00000000000001,50,86.64282614968693,NA
0.9000000000000001,90.00000000000001,50,89.6087316832387,NA
0.9500000000000001,95,50,92.18685168024226,NA
1,100,50,93.60269394785593,NA
