Study_Network_id,n_plants_total,total_pollinator_richness,n_plants_sampled,captured_pollinator_richness,repetition,sampling_proportion,sampling_percent,pollinator_richness_captured_percent
54_Lazaro_SonBaco_2018_2018,14,73,1,3,1,0.05,5,4.109589041095891
54_Lazaro_SonMutNou_2018_2018,12,69,1,2,1,0.05,5,2.898550724637681
54_Lazaro_UIB_2018_2018,20,72,1,3,1,0.05,5,4.166666666666667
5_Marini_UNIPD02 AA_2019,24,24,2,6,1,0.05,5,25
5_Marini_UNIPD02 AB_2019,26,16,2,3,1,0.05,5,18.75
5_Marini_UNIPD02 AC_2019,31,23,2,6,1,0.05,5,26.08695652173913
5_Marini_UNIPD02 AD_2019,20,14,1,0,1,0.05,5,0
5_Marini_UNIPD02 AE_2019,19,35,1,2,1,0.05,5,5.714285714285714
5_Marini_UNIPD02 AF_2019,16,24,1,4,1,0.05,5,16.666666666666668
5_Marini_UNIPD02 AG_2019,25,52,2,4,1,0.05,5,7.6923076923076925
5_Marini_UNIPD02 AH_2019,22,35,2,6,1,0.05,5,17.142857142857142
5_Marini_UNIPD02 AI_2019,21,16,2,0,1,0.05,5,0
5_Marini_UNIPD02 AJ_2019,10,31,1,2,1,0.05,5,6.451612903225806
5_Marini_UNIPD02 AK_2019,10,21,1,3,1,0.05,5,14.285714285714286
5_Marini_UNIPD02 AL_2019,27,39,2,1,1,0.05,5,2.5641025641025643
5_Marini_UNIPD02 AM_2019,31,34,2,3,1,0.05,5,8.823529411764707
5_Marini_UNIPD02 AN_2019,12,20,1,3,1,0.05,5,15
5_Marini_UNIPD02 AO_2019,18,29,1,3,1,0.05,5,10.344827586206897
5_Marini_UNIPD02 AP_2019,16,18,1,0,1,0.05,5,0
5_Marini_UNIPD02 AQ_2019,15,24,1,0,1,0.05,5,0
5_Marini_UNIPD02 AS_2019,14,22,1,1,1,0.05,5,4.545454545454546
5_Marini_UNIPD02 AT_2019,16,26,1,1,1,0.05,5,3.8461538461538463
5_Marini_UNIPD02 AV_2019,10,13,1,1,1,0.05,5,7.6923076923076925
5_Marini_UNIPD02 A_2019,17,35,1,3,1,0.05,5,8.571428571428571
5_Marini_UNIPD02 B_2019,21,32,2,14,1,0.05,5,43.75
5_Marini_UNIPD02 C_2019,19,35,1,0,1,0.05,5,0
5_Marini_UNIPD02 D_2019,17,32,1,5,1,0.05,5,15.625
5_Marini_UNIPD02 E_2019,12,32,1,0,1,0.05,5,0
